PolicyKey,PolicyNumber,OrgKey,PlanKey,AgentKey,AdjustmentDate,DateOfCommencement,ModeOfPayment,ChequeEncashmentDetails,PolicyStatus,PremiumInstallmentAmount,FUPDate,Gaps,SumAssured,Budget,PolicyVintageBucket,HasMobile,HasEmail,HasNEFT,HasPAN
1,POL0000001,27,11,74,2023-07-07,2023-07-30,Monthly,NA,Inforce,1339.51,2024-01-21,5,636659.04,8637.31,>=2 years and <3 years,0,1,0,1
2,POL0000002,16,3,1,2025-10-04,2025-10-17,Yearly,Honoured,Lapsed,4237.31,2026-01-16,5,316273.4,137901.56,Less than 1 year,1,1,0,1
3,POL0000003,28,4,23,2025-10-24,2025-11-18,Half-yearly,NA,Inforce,2426.22,2026-02-11,4,173997.14,150251.45,Less than 1 year,1,0,1,1
4,POL0000004,36,4,16,2024-09-25,2024-09-26,Quarterly,Honoured,Inforce,3202.5,2025-07-02,4,1664201.25,34682.99,>=1 year and <2 years,1,1,1,1
5,POL0000005,36,10,41,2024-08-18,2024-08-22,Yearly,Honoured,Inforce,1510.13,2025-01-09,1,504847.65,97607.25,>=1 year and <2 years,1,1,1,0
6,POL0000006,33,7,71,2024-07-19,2024-08-12,Monthly,NA,Lapsed,2681.3,2025-07-09,1,602402.3,61145.67,>=1 year and <2 years,1,1,0,1
7,POL0000007,29,5,32,2024-08-27,2024-09-17,Half-yearly,NA,Inforce,2063.67,2025-04-21,2,179950.21,39032.51,>=1 year and <2 years,1,1,1,1
8,POL0000008,32,11,31,2023-06-26,2023-07-19,Monthly,NA,Inforce,2756.45,2024-02-23,3,529939.97,102108.45,>=2 years and <3 years,1,1,1,1
9,POL0000009,18,6,41,2026-03-19,2026-04-14,Yearly,NA,Inforce,1266.58,2027-02-14,0,446532.0,56838.06,Less than 1 year,1,1,0,1
10,POL0000010,25,12,20,2024-06-20,2024-07-02,Half-yearly,NA,Inforce,3288.25,2024-11-16,1,224379.63,35461.9,>=1 year and <2 years,1,1,1,1
11,POL0000011,35,8,54,2026-01-19,2026-01-23,Single,Honoured,Inforce,3268.1,2026-08-07,2,277270.65,34159.97,Less than 1 year,1,1,1,1
12,POL0000012,38,12,3,2024-04-05,2024-05-04,Yearly,Honoured,Inforce,3177.69,2024-11-16,4,221683.89,160987.78,>=1 year and <2 years,1,1,1,1
13,POL0000013,1,6,39,2023-06-26,2023-06-28,Half-yearly,Honoured,Cooling Off,2039.84,2023-09-08,2,75333.59,73921.54,>=2 years and <3 years,1,1,0,0
14,POL0000014,27,9,70,2024-09-20,2024-10-12,Half-yearly,Honoured,Inforce,2874.55,2025-02-22,3,1080528.54,40310.14,>=1 year and <2 years,1,1,1,1
15,POL0000015,18,7,63,2023-10-23,2023-11-02,Single,NA,Inforce,3096.94,2024-07-16,0,115905.13,28113.41,>=2 years and <3 years,0,1,1,1
16,POL0000016,26,12,22,2024-02-16,2024-02-16,Half-yearly,Honoured,Cheque Dishonor,1034.38,2024-08-04,2,385520.19,106307.61,>=2 years and <3 years,1,1,0,1
17,POL0000017,35,1,51,2024-11-13,2024-11-27,Quarterly,NA,Inforce,2935.62,2025-11-12,1,215184.69,28821.91,>=1 year and <2 years,1,0,0,1
18,POL0000018,28,3,60,2024-02-24,2024-03-12,Monthly,NA,Inforce,915.29,2024-11-20,4,287365.93,245466.36,>=2 years and <3 years,1,1,0,1
19,POL0000019,30,6,44,2023-12-15,2023-12-16,Half-yearly,NA,Inforce,1617.94,2024-07-16,2,155504.26,106342.32,>=2 years and <3 years,1,0,1,1
20,POL0000020,27,5,11,2025-12-14,2025-12-21,Quarterly,Honoured,Inforce,1687.79,2026-03-21,0,208470.11,16592.95,Less than 1 year,0,0,0,0
21,POL0000021,23,4,9,2023-11-30,2023-12-27,Half-yearly,NA,Inforce,2967.7,2024-07-01,1,357554.74,34542.43,>=2 years and <3 years,1,1,0,1
22,POL0000022,16,4,3,2023-04-06,2023-05-05,Quarterly,NA,Inforce,1100.09,2023-06-14,0,1191198.3,42540.46,>=2 years and <3 years,1,1,0,1
23,POL0000023,8,10,28,2024-02-01,2024-02-10,Quarterly,NA,Inforce,3677.7,2024-06-26,5,298773.27,43160.44,>=2 years and <3 years,1,1,1,0
24,POL0000024,39,10,15,2026-02-22,2026-02-25,Half-yearly,NA,Inforce,2427.98,2027-02-01,4,113152.0,22684.59,Less than 1 year,1,1,0,1
25,POL0000025,38,1,40,2024-07-17,2024-07-20,Quarterly,Honoured,Inforce,3351.47,2024-09-15,2,230821.34,123285.78,>=1 year and <2 years,1,0,1,0
26,POL0000026,13,2,76,2024-09-27,2024-09-27,Half-yearly,NA,Inforce,2891.54,2024-12-15,3,125998.75,54242.45,>=1 year and <2 years,1,0,1,0
27,POL0000027,20,11,77,2025-06-15,2025-07-09,Half-yearly,Honoured,Inforce,1038.97,2026-03-09,4,386165.67,148011.69,Less than 1 year,1,0,1,1
28,POL0000028,3,6,69,2025-07-14,2025-08-01,Monthly,NA,Inforce,1819.62,2025-10-09,2,737208.72,45933.13,Less than 1 year,1,1,1,1
29,POL0000029,22,1,54,2026-03-22,2026-04-14,Half-yearly,NA,Cooling Off,7526.57,2027-04-01,0,117510.67,35895.03,Less than 1 year,1,0,1,1
30,POL0000030,41,8,20,2025-12-25,2026-01-22,Monthly,Honoured,Cooling Off,3245.11,2026-04-14,1,269541.97,14506.79,Less than 1 year,1,1,1,1
31,POL0000031,18,10,69,2024-07-12,2024-07-30,Half-yearly,NA,Inforce,4590.18,2025-05-25,2,397497.09,52450.13,>=1 year and <2 years,1,0,1,1
32,POL0000032,38,5,42,2025-11-26,2025-12-03,Yearly,Honoured,Inforce,8777.5,2026-08-05,3,408486.85,25160.4,Less than 1 year,1,1,1,0
33,POL0000033,29,4,60,2023-07-26,2023-07-27,Quarterly,NA,Inforce,3334.68,2024-04-13,0,630008.47,75263.95,>=2 years and <3 years,0,0,0,1
34,POL0000034,32,6,24,2025-02-01,2025-02-25,Quarterly,NA,Inforce,2349.49,2025-12-29,3,338943.18,187985.68,>=1 year and <2 years,1,1,0,1
35,POL0000035,18,10,36,2023-06-06,2023-06-10,Quarterly,NA,Inforce,871.32,2023-09-03,2,1194714.65,12572.95,>=2 years and <3 years,1,1,1,1
36,POL0000036,16,12,53,2023-12-14,2023-12-23,Quarterly,Honoured,Inforce,5453.83,2024-09-03,5,1199466.03,144271.03,>=2 years and <3 years,1,0,0,0
37,POL0000037,42,12,63,2024-11-24,2024-12-10,Monthly,NA,Inforce,2601.84,2025-02-02,1,662121.86,17314.59,>=1 year and <2 years,1,0,1,1
38,POL0000038,26,12,32,2025-02-23,2025-02-25,Monthly,NA,Inforce,7453.46,2025-10-08,0,85297.94,47076.09,>=1 year and <2 years,0,0,1,0
39,POL0000039,34,6,55,2026-03-24,2026-04-17,Yearly,NA,Inforce,1360.78,2026-06-16,1,113356.12,27330.32,Less than 1 year,1,1,0,1
40,POL0000040,30,5,40,2024-09-01,2024-09-15,Monthly,NA,Inforce,3000.9,2025-06-16,4,417754.82,214136.08,>=1 year and <2 years,1,0,1,1
41,POL0000041,8,12,69,2025-05-27,2025-05-29,Yearly,NA,Inforce,3118.35,2026-02-27,2,190000.66,104002.02,Less than 1 year,1,0,0,1
42,POL0000042,31,5,76,2025-08-16,2025-08-27,Yearly,NA,Inforce,2288.22,2026-01-09,0,407686.12,122960.7,Less than 1 year,1,1,0,1
43,POL0000043,7,4,38,2026-01-31,2026-03-01,Monthly,NA,Inforce,2822.65,2026-10-22,2,302754.82,165353.82,Less than 1 year,1,0,1,0
44,POL0000044,35,3,36,2025-11-14,2025-12-03,Single,NA,Inforce,751.4,2026-06-11,3,208017.65,55098.11,Less than 1 year,1,0,1,1
