ClaimCaseKey,PolicyKey,OrgKey,PlanKey,AgentKey,ClaimBookedDate,ClaimPaidDate,ClaimPaymentDueDate,ClaimIntimationDate,PaymentType,ClaimType,DeathClaimType,ClaimStatus,ClaimAmountPaid,ClaimAmountPayable,PaidFinYear,IsBooked,IsPayable,IsPaid,IsPaidOnOrBeforeDueDate,IsRepudiated,IsRejected,IsCancelled,IsIntimationCancelled,OutstandingDaysAsOf,OutstandingBucket,IsOutstandingAsOf,ReinvestmentConsentFlag,ReinvestmentAmount,ClaimBookedDateKey,ClaimPaidDateKey,ClaimPaymentDueDateKey,ClaimIntimationDateKey
1,661,31,11,20,2024-04-23,,2024-03-31,2024-04-06,Maturity,Maturity,,Pending,0.0,250249.09,,1,1,0,0,0,0,0,0,726,>12 Months,1,1,126240.44,20240423,,20240331,20240406
2,1290,16,9,17,2024-09-19,,2024-03-31,2024-08-31,EDC,Death,Early,Pending,0.0,377277.69,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240919,,20240331,20240831
3,864,41,3,16,2024-01-28,,2024-03-17,2024-01-13,Maturity,Maturity,,Pending,0.0,491894.3,,1,1,0,0,0,0,0,0,740,>12 Months,1,0,0.0,20240128,,20240317,20240113
4,690,1,12,1,2024-09-21,,2024-03-31,2024-09-06,Maturity,Maturity,,Pending,0.0,432317.59,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240921,,20240331,20240906
5,206,12,9,38,2024-08-18,,2024-03-31,2024-08-03,NEDC,Death,Non-Early,Pending,0.0,700405.36,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240818,,20240331,20240803
6,334,42,6,73,2024-04-13,,2024-03-31,2024-04-01,Maturity,Maturity,,Pending,0.0,114119.59,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240413,,20240331,20240401
7,382,40,10,11,2024-01-06,,2024-02-22,2023-12-21,SB,SB,,Pending,0.0,69287.63,,1,1,0,0,0,0,0,0,764,>12 Months,1,0,0.0,20240106,,20240222,20231221
8,900,20,1,74,2024-09-26,,2024-03-31,2024-09-14,SB,SB,,Pending,0.0,121477.47,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240926,,20240331,20240914
9,935,32,12,31,2024-02-25,,2024-03-31,2024-02-17,Maturity,Maturity,,Pending,0.0,319904.37,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240225,,20240331,20240217
10,1423,29,11,1,2024-01-12,,2024-03-31,2023-12-28,Maturity,Maturity,,Pending,0.0,133991.96,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240112,,20240331,20231228
